# Converted from ulughbeg.dat — Ulugh Beg (equinox 1437)
# Source: Verbunt & van Gent (2012) A&A 544 A31
# id_flag: 1=secure(nearest) 2=secure(not nearest) 3=probable 4=possible 5=unident 6=repeat
# Skipped: HIP=0 (unidentified) and id_flag=5 (not identified)
# hip;lat_deg;lon_deg;seq;cst;name;mag_ptolema;vmag_hip;id_flag;dist_arcmin
30883;-3.4000;89.4167;436;=Gem;"16=Gem";3;4.1;1;32.1
31681;-7.2000;91.5167;437;=Gem;"17=Gem";3;1.9;1;28.3
32362;-10.2000;93.5167;438;=Gem;"18=Gem";4;3.3;1;8.7
28734;-0.7500;83.2167;439;=Gem;"19a=Gem";4;4.2;1;32.1
29696;6.0000;85.9167;440;=Gem;"20a=Gem";4;4.3;1;23.7
32921;-2.0000;94.0667;441;=Gem;"21a=Gem";5;5.3;1;47.5
38722;-1.3333;109.0167;442;=Gem;"22a=Gem";5;5.4;1;26.2
37908;-3.0000;107.2167;443;=Gem;"23a=Gem";5;4.9;1;18.0
37300;-4.2500;105.7667;444;=Gem;"24a=Gem";5;5.0;1;26.7
39177;-2.7500;111.1667;445;=Gem;"25a=Gem";4;5.6;1;32.8
42556;1.0000;119.7667;446;=Cnc;"1=Cnc";9;6.3;1;14.5
41909;1.3500;117.4167;447;=Cnc;"2=Cnc";4;5.3;1;13.6
41822;-1.2500;117.6667;448;=Cnc;"3=Cnc";4;5.3;1;29.3
42806;3.1000;119.5667;449;=Cnc;"4=Cnc";4;4.7;1;8.6
42911;-0.2500;120.7167;450;=Cnc;"5=Cnc";4;3.9;1;20.6
44066;-5.3500;125.6667;451;=Cnc;"6=Cnc";4;4.3;1;15.3
43103;10.2500;118.1167;452;=Cnc;"7=Cnc";4;4.0;1;23.4
39780;0.9000;113.6167;453;=Cnc;"8=Cnc";5;5.3;2;121.9
40526;-10.5000;116.7167;454;=Cnc;"9=Cnc";3;3.5;1;19.9
43970;-2.2500;124.1667;455;=Cnc;"10a=Cnc";4;5.2;1;30.5
44798;-5.8000;127.9167;456;=Cnc;"11a=Cnc";4;5.2;1;27.0
44405;7.0000;122.8167;457;=Cnc;"12a=Cnc";5;5.4;1;26.3
44946;5.0000;124.9167;458;=Cnc;"13a=Cnc";5;5.2;1;34.6
46146;10.1500;128.1667;459;=Leo;"1=Leo";4;4.5;1;45.2
46750;8.0000;130.1667;460;=Leo;"2=Leo";4;4.3;1;12.6
48455;12.3500;133.4167;461;=Leo;"3=Leo";3;3.9;1;10.8
47908;9.7500;133.1167;462;=Leo;"4=Leo";3;3.0;1;16.2
50335;11.5500;140.4167;463;=Leo;"5=Leo";3;3.4;2;45.3
50583;9.0000;141.9667;464;=Leo;"6=Leo";2;2.0;1;20.2
49583;4.8000;140.3167;465;=Leo;"7=Leo";3;3.5;1;15.9
49669;0.1500;142.2167;466;=Leo;"8=Leo";1;1.4;1;21.4
49637;-1.4500;142.3667;467;=Leo;"9=Leo";4;4.4;1;12.6
48883;-0.2000;139.9167;468;=Leo;"10=Leo";5;5.3;1;28.6
47723;0.1000;136.9167;469;=Leo;"11=Leo";6;5.4;1;77.8
46771;-3.1500;134.3667;470;=Leo;"12=Leo";6;5.0;1;33.3
47508;-3.9500;136.3667;471;=Leo;"13=Leo";4;3.5;1;10.6
49029;-4.0000;141.6667;472;=Leo;"14=Leo";4;4.7;1;12.1
51624;-0.1500;148.6167;473;=Leo;"15=Leo";4;3.8;1;17.1
51585;4.2500;146.4167;474;=Leo;"16=Leo";6;5.4;1;21.8
52689;5.6000;150.0167;475;=Leo;"17=Leo";6;5.5;1;22.9
52911;2.1000;152.3167;476;=Leo;"18=Leo";6;5.3;1;51.0
53954;13.1000;151.3167;477;=Leo;"19=Leo";5;4.4;1;22.7
54872;14.1500;153.4667;478;=Leo;"20=Leo";2;2.6;1;10.8
54951;16.7500;152.6667;479;=Leo;"21=Leo";5;4.6;1;3.5
54879;9.4000;155.6667;480;=Leo;"22=Leo";3;3.3;1;17.4
55642;6.1500;159.9667;481;=Leo;"23=Leo";3;4.0;1;17.1
55434;1.2500;161.2667;482;=Leo;"24=Leo";4;4.1;1;35.8
54849;-5.0000;161.5167;483;=Leo;"25=Leo";4;5.4;1;21.6
56647;-3.2500;167.0667;484;=Leo;"26=Leo";5;4.3;1;14.1
57632;12.0000;163.8167;485;=Leo;"27=Leo";1;2.1;2;18.5
52457;14.0000;145.6667;486;=Leo;"28a=Leo";5;5.1;1;3.8
53417;16.5000;147.9167;487;=Leo;"29a=Leo";5;4.3;1;15.5
54182;1.2500;156.7167;488;=Leo;"30a=Leo";4;4.6;1;6.3
53824;-0.5000;156.3167;489;=Leo;"31a=Leo";5;5.0;1;19.3
53807;-3.0000;157.2667;490;=Leo;"32a=Leo";5;4.8;1;30.5
