"hip";"lat";"lon";"hr";"hd";"name";"almagest_number"
102098;60;309.17;7924;197345;"50Alp Cyg";163
97165;64.67;289.33;7528;186882;"18Del Cyg";164
96441;69.67;292.5;7469;185395;"13The Cyg";165
95853;71.5;291.17;7420;184006;"10Iot2Cyg";166
94779;74;286.67;7328;181276;"1Kap Cyg";167
102488;49.5;300.83;7949;197989;"53Eps Cyg";168
102589;52.17;303.83;7963;198183;"54Lam Cyg";169
104732;44;306.67;8115;202109;"64Zet Cyg";170
103413;55.17;310;8028;199629;"58Nu Cyg";171
104060;57;314.5;8079;200905;"62Xi Cyg";172
99675;64;301.17;7735;192577;"31 Cyg";173
99848;64.5;302.67;7751;192909;"32 Cyg";174
101243;64.75;312.17;7851;195774;"46Ome2Cyg";175
104887;49.67;310.67;8130;202444;"65Tau Cyg";176
105102;51.67;313.83;8143;202850;"67Sig Cyg";177
2920;45.33;7.83;153;3360;"17Zet Cas";178
3179;46.75;10.83;168;3712;"18Alp Cas";179
3821;47.83;13;219;4614;"24Eta Cas";180
4427;49;16.67;264;5394;"27Gam Cas";181
6686;45.5;20.67;403;8538;"37Del Cas";182
8886;47.75;27;542;11415;"45Eps Cas";183
11569;47.33;31.67;707;15089;"Iot Cas";184
5542;44.33;14.67;343;6961;"33The Cas";185
6242;45;17.67;382;7927;"34Phi Cas";186
118243;50;2.33;9071;224572;"8Sig Cas";187
2599;52.67;15;130;2905;"15Kap Cas";188
746;51.67;7.83;21;432;"11Bet Cas";189
117863;51.67;3.67;9045;224014;"7Rho Cas";190
13268;37.5;31.17;834;17506;"15Eta Per";192
14328;34.5;32.67;915;18925;"23Gam Per";193
12777;32.33;27.5;799;16895;"13The Per";194
13531;34.5;30.67;854;17878;"18Tau Per";195
14632;31.17;31.5;937;19373;"Iot Per";196
15863;30;34.83;1017;20902;"33Alp Per";197
16335;27.83;35.33;1052;21552;"35Sig Per";198
16826;27.67;37;1087;22192;"37Psi Per";199
17358;27.33;37.67;1122;22928;"39Del Per";200
14668;27;30.5;941;19476;"27Kap Per";201
14576;23;29.67;936;19356;"26Bet Per";202
14817;21;29.17;947;19656;"28Ome Per";203
14354;21;27.67;921;19058;"25Rho Per";204
13879;22.25;26.83;879;18411;"22Pi Per";205
20070;28;44.83;1324;26961;;206
19167;28.17;43;1261;25642;"47Lam Per";207
19343;25;42.33;1273;26215;"48 Per";208
19812;26.25;44;1303;26630;"51Mu Per";209
20354;24.5;44.17;1350;27396;"53 Per";210
21476;18.75;46.33;1454;29094;"58 Per";211
17529;21.83;36.83;1135;23230;"41Nu Per";212
18532;19.25;38.67;1220;24760;"45Eps Per";213
18614;14.75;38.33;1228;24912;"46Xi Per";214
17448;12;34.17;1131;23180;"38Omi Per";215
18246;11;36.33;1203;24398;"44Zet Per";216
19811;18;41.83;1306;26673;"52 Per";217
19949;31;45;1314;26764;;218
13254;20.67;24.67;840;17584;"16 Per";219
28358;30;62.5;2077;40035;"33Del Aur";220
27949;31.83;62.33;2029;39283;"30Xi Aur";221
24608;22.5;55;1708;34029;"13Alp Aur";222
28360;20;62.83;2088;40426;"34Bet Aur";223
27673;15.25;61.17;2012;39003;"32Nu Aur";224
28380;13.33;62.83;2095;40312;"37The Aur";225
23416;20.67;52;1605;31964;"7Eps Aur";226
23767;18;52.17;1641;32630;"10Eta Aur";227
23453;18;52;1612;32068;"8Zet Aur";228
23015;10.17;49.83;1577;31398;"3Iot Aur";229
25984;8.5;56;1843;36371;"25Chi Aur";231
25541;12.17;56.33;1805;35620;"24Phi Aur";232
24504;10.33;50.67;1706;34195;"14 Aur";233
86032;36;234.83;6556;159561;"55Alp Oph";234
86742;27.25;238;6603;161096;"60Bet Oph";235
87108;26.5;239;6629;161868;"62Gam Oph";236
82673;33;223.33;6281;152614;"25Iot Oph";237
83000;31.83;224.67;6299;153210;"27Kap Oph";238
80883;24.5;218.33;6149;148857;"10Lam Oph";239
79593;17;215;6056;146051;"1Del Oph";240
79882;16.5;216;6075;146791;"2Eps Oph";241
86284;15;236.67;6567;159975;"57Mu Oph";242
88048;13.67;242.33;6698;163917;"64Nu Oph";243
88404;14.33;243.33;6733;164764;"69Tau Oph";244
84012;7.5;231.17;6378;155125;"35Eta Oph";245
84893;2.25;233.67;6445;156897;"40Xi Oph";246
84405;-2.25;233;6401;155885;"36 Oph";247
84970;-1.5;234.33;6453;157056;"42The Oph";248
85340;-0.33;235;6486;157792;"44 Oph";249
85755;-0.25;235.83;6519;158643;"51 Oph";250
86736;1;237.17;6595;160915;"58 Oph";251
81377;11.83;222.17;6175;149757;"13Zet Oph";252
80894;5.33;221.67;6147;148786;"8Phi Oph";253
80569;3.17;220.67;6118;148184;"7Chi Oph";254
80343;1.67;219.83;6104;147700;"4Psi Oph";255
80975;0.67;222.33;6153;148898;"9Ome Oph";256
80473;-0.75;220.67;6112;147933;"5Rho Oph";257
88149;28.17;242;6712;164284;"66 Oph";258
88192;26.33;242.67;6714;335509;"67 Oph";259
88290;25;243;6723;163544;"68 Oph";260
88601;27;243.67;6752;45995;"70 Oph";261
88771;33;244.67;6771;165777;"72 Oph";262
76852;38;198.83;5842;140159;"21Iot Ser";263
77661;40;201.67;5899;141992;"38Rho Ser";264
78072;36;204.33;5933;142860;"41Gam Ser";265
77233;34.25;202;5867;141003;"28Bet Ser";266
77450;37.25;201.33;5879;141477;"35Kap Ser";267
78554;42.5;203.17;5972;143894;"44Pi Ser";268
76276;29.25;201.67;5788;138917;"13Del Ser";269
77257;26.5;204.83;5868;141004;"27Lam Ser";270
77070;25.33;204.33;5854;140573;"24Alp Ser";271
77622;24;206.33;5892;141795;"37Eps Ser";272
77516;16.5;208.83;5881;141513;"32Mu Ser";273
80628;13.25;218.17;6129;148367;"3Ups Oph";274
84880;10.5;233.67;6446;156928;"53Nu Ser";275
86263;8.5;237;6561;159876;"55Xi Ser";276
86565;10.83;237.83;6581;160613;"56Omi Ser";277
88175;20;243.67;6710;164259;"57Zet Ser";278
89962;21.17;248.67;6869;168723;"58Eta Ser";279
92946;27;258.33;7141;175638;"63The1Ser";280
98337;39.33;280.17;7635;189319;"12Gam Sge";281
97496;39.17;276.67;7546;187362;"8Zet Sge";282
97365;39.5;275.83;7536;187076;"7Del Sge";283
96757;39;274.67;7479;185758;"5Alp Sge";284
96837;38.67;273.33;7488;185958;"6Bet Sge";285
98823;26.83;277.17;7669;190327;"63Tau Aql";286
98036;27.17;274.83;7602;188512;"60Bet Aql";287
97675;30;274.67;7560;186786;"54Omi Aql";289
97278;31.5;273.17;7525;186791;"50Gam Aql";290
98103;31.5;276;7610;188728;"61Phi Aql";291
96229;28.67;269.67;7429;184406;"38Mu Aql";292
96665;26.67;271.17;7474;185507;"44Sig Aql";293
93747;36.67;262.17;7235;177724;"17Zet Aql";294
97804;21.67;273.67;7570;187929;"55Eta Aql";295
99473;19.17;278.83;7710;45995;"65The Aql";296
95501;25;266;7377;231373;"30Del Aql";297
96468;20;268.5;7447;184930;"41Iot Aql";298
96483;15.5;269.67;7446;184915;"39Kap Aql";299
93805;18.17;261.17;7236;177756;"16Lam Aql";300
101421;29.17;287.67;7852;195810;"2Eps Del";301
101800;29;288.67;7883;196544;"5Iot Del";302
101916;27.75;288.67;7896;196755;"7Kap Del";303
101769;32;288.5;7882;196524;"6Bet Del";304
101958;33;290.17;7906;196867;"9Alp Del";305
102281;32;291.33;7928;197461;"11Del Del";306
102531;33.17;293.17;7947;197963;"12Gam2Del";307
101483;30.25;287.5;7858;195943;"3Eta Del";308
101589;31.83;287.5;7871;196180;"4Zet Del";309
101882;31.5;289;7892;196725;"8The Del";310
104987;20.5;296.33;8131;202447;"8Alp Equ";311
105570;20.67;298;8178;203562;"10Bet Equ";312
104521;25.5;296.33;8097;201601;"5Gam Equ";313
104858;25;297.67;8123;202275;"7Del Equ";314
677;26;347.83;15;359;"21Alp And";315
1067;12.5;342.17;39;886;"88Gam Peg";316
113881;31;332.17;8775;217906;"53Bet Peg";317
113963;19.67;326.67;8781;218045;"54Alp Peg";318
115250;25.5;334.5;8880;220061;"62Tau Peg";319
115623;25;335;8905;220657;"68Ups Peg";320
112158;35;329;8650;215182;"44Eta Peg";321
112051;34.5;328.5;8641;214994;"43Omi Peg";322
112440;29;326.17;8667;215665;"47Lam Peg";323
112748;29.5;327;8684;216131;"48Mu Peg";324
112029;18;318.83;8634;214923;"42Zet Peg";325
112447;19;320.5;8665;215648;"46Xi Peg";326
113186;15;321.33;8717;216735;"50Rho Peg";327
112935;16;320.5;8697;216385;"49Sig Peg";328
109427;16.5;309.33;8450;210418;"26The Peg";329
109068;16;308;8413;209747;"22Nu Peg";330
107315;22.5;305.33;8308;206778;"8Eps Peg";331
109410;41.17;323.33;8454;210459;"29Pi 2Peg";332
109176;34.25;317.33;8430;210027;"24Iot Peg";333
107354;36.83;312.33;8315;206901;"10Kap Peg";334
3092;24.5;355.33;165;3627;"31Del And";335
2912;27;356.33;154;3369;"29Pi And";336
3031;23;354.33;163;3546;"30Eps And";337
1473;32;353.67;68;1404;"25Sig And";338
1366;33.5;354.67;63;1280;"24The And";339
1686;32.33;355;82;1671;"27Rho And";340
116631;41;349.67;8965;222173;"17Iot And";341
116805;42;350.67;8976;222439;"19Kap And";342
116584;44;352.17;8961;222107;"16Lam And";343
3693;17.5;354.17;215;4502;"34Zet And";344
4463;15.83;355.67;271;5516;"38Eta And";345
5447;26.33;3.83;337;6860;"43Bet And";346
4436;30;2;269;5448;"37Mu And";347
3881;32.5;1.83;226;4727;"35Nu And";348
9640;28;16.83;603;12533;"57Gam1And";349
8068;37.33;17.17;496;10516;"Phi Per";350
7607;35.67;15.17;464;9927;"51 And";351
7513;29;12.33;458;9826;"50Ups And";352
7818;28;12;477;10205;"53Tau And";353
5434;35.5;10.17;335;6811;"42Phi And";354
